LÍNEA 1,,LÍNEA 2,,LÍNEA 3
,,,Villa de Aragón,"529,799",,Mexicaltzingo,"729,152"
,,,Nezahualcóyotl,"879,969",,Ermita,"659,959"
,,,Impulsora,"1,087,511",,Eje Central,"509,974"
,,,Río de los Remedios,"964,501",,Parque de los Venados,"424,437"
,,,Múzquiz,"1,513,791",,Zapata,"692,020"
,,,Ecatepec,"978,527",,20 de Noviembre,"425,832"
,,,Olímpica,"867,436",,Insurgentes Sur,"1,291,180"
,,,Plaza Aragón,"904,462",,Mixcoac,"490,038"
,,,Ciudad Azteca,"2,330,672",,,
,,,,,,,
TOTAL,"18,208,226",,TOTAL,"18,175,760",,TOTAL,"15,940,452"
GRAN TOTAL,"166,969,430"
"* El total contempla el rubro de beneficiados por la cancelación de doble pago de la correspondencia Pantitlán, el cual asciende a 10,049,688"
LÍNEA 1,,LÍNEA 2,,LÍNEA 3
Pantitlán,"2,807,529",,Cuatro Caminos,"4,144,051",,Indios Verdes,"5,974,944"
Zaragoza,"2,091,170",,Panteones,"550,592",,Deptvo. 18 de Marzo,"1,516,986"
Gómez Farías,"1,861,026",,Tacuba,"1,811,469",,Potrero,"758,479"
Blvd. Puerto Aéreo,"1,140,398",,Cuitláhuac,"811,105",,La Raza,"1,598,446"
Balbuena,"509,057",,Popotla,"326,610",,Tlatelolco,"826,159"
Moctezuma,"1,115,398",,Colegio Militar,"513,309",,Guerrero,"524,018"
San Lázaro,"914,330",,Normal,"1,350,340",,Hidalgo,"601,861"
Candelaria,"1,440,474",,San Cosme,"792,438",,Juárez,"701,603"
Merced,"2,838,029",,Revolución,"1,257,965",,Balderas,"299,107"
Pino Suárez,"1,823,494",,Hidalgo,"1,402,101",,Niños Héroes/PJCDMX,"971,745"
Isabel la Católica,"1,128,302",,Bellas Artes,"762,035",,Hospital General,"847,393"
Salto del Agua,"1,051,444",,Allende,"878,863",,Centro Médico,"889,276"
Balderas,"883,853",,Zócalo,"2,196,540",,Etiopía/Plaza de la Trans.,"1,199,481"
Cuauhtémoc,"1,024,509",,Pino Suárez,"865,834",,Eugenia,"715,906"
Insurgentes,"2,087,813",,San Antonio Abad,"952,481",,División del Norte,"709,407"
Sevilla,"1,404,514",,Chabacano,"893,512",,Zapata,"1,711,859"
Chapultepec,"2,433,276",,Viaducto,"779,450",,Coyoacán,"579,161"
Juanacatlán,"466,179",,Xola,"804,785",,Viveros/Derechos Humanos,"981,521"
Tacubaya,"1,869,135",,Villa de Cortés,"712,299",,Miguel A. de Quevedo,"1,636,083"
Observatorio,"2,819,940",,Nativitas,"684,861",,Copilco,"1,155,211"
,,,Portales,"736,705",,Universidad,"2,279,601"
,,,Ermita,"764,601",,,
,,,General Anaya,"701,791",,,
,,,Tasqueña,"3,445,178",,,
TOTAL,"31,709,870",,TOTAL,"28,138,915",,TOTAL,"26,478,247"
,,,,,,,
,,,,,,,
,,,,,,,
LÍNEA 4,,LÍNEA 5,,LÍNEA 6
Santa Anita,"97,964",,Politécnico,"1,411,251",,El Rosario,"713,015"
Jamaica,"347,735",,Inst. del Petróleo,"257,843",,Tezozómoc,"260,161"
Fray Servando,"354,676",,Autobuses del Norte,"1,056,374",,Azcapotzalco,"378,487"
Candelaria,"427,361",,La Raza,"582,871",,Ferrería/Arena CDMX,"820,568"
Morelos,"374,290",,Misterios,"379,606",,Norte 45,"396,869"
Canal del Norte,"369,354",,Valle Gómez,"200,290",,Vallejo,"488,009"
Consulado,"167,601",,Consulado,"268,905",,Inst. del Petróleo,"117,956"
Bondojito,"274,792",,Eduardo Molina,"308,463",,Lindavista,"567,163"
Talismán,"206,331",,Aragón,"380,888",,Deptvo. 18 de Marzo,"60,504"
Martín Carrera,"761,671",,Oceanía,"498,114",,La Villa-Basilica,"528,622"
,,,Terminal Aérea,"1,046,534",,Martín Carrera,"1,322,013"
,,,Hangares,"223,069",,,
,,,Pantitlán,"5,282,955",,,
TOTAL,"3,381,775",,TOTAL,"11,897,163",,TOTAL,"5,653,367"
,,,,,,,
,,,,,,,
LÍNEA 7,,LÍNEA 8,,LÍNEA 9
El Rosario,"1,526,717",,Garibaldi/Lagunilla,"808,876",,Pantitlán,"4,932,021"
Aquiles Serdán,"518,245",,Bellas Artes,"793,331",,Puebla,"1,510,902"
Camarones,"684,561",,San Juan Letrán,"1,444,395",,Ciudad Deportiva,"264,401"
Refinería,"558,073",,Salto del Agua,"621,879",,Velódromo,"367,326"
Tacuba,"414,710",,Doctores,"705,863",,Mixiuhca,"984,843"
San Joaquín,"1,181,210",,Obrera,"653,001",,Jamaica,"565,116"
Polanco,"1,312,775",,Chabacano,"209,249",,Chabacano,"519,637"
Auditorio,"1,241,435",,La Viga,"353,125",,Lázaro Cárdenas,"683,205"
Constituyentes,"252,278",,Santa Anita,"225,425",,Centro Médico,"771,382"
Tacubaya,"265,385",,Coyuya,"1,264,347",,Chilpancingo,"2,221,381"
San Pedro los Pinos,"588,999",,Iztacalco,"1,055,675",,Patriotismo,"913,023"
San Antonio,"603,832",,Apatlaco,"896,055",,Tacubaya,"1,840,781"
Mixcoac,"1,458,633",,Aculco,"549,819",,,
Barranca del Muerto,"1,795,335",,Escuadrón 201,"1,072,717",,,
,,,Atlalilco,"1,105,634",,,
,,,Iztapalapa,"555,342",,,
,,,Cerro de la Estrella,"615,356",,,
,,,U A M  I,"1,260,949",,,
,,,Constitución de 1917,"4,669,976",,,
TOTAL,"12,402,188",,TOTAL,"18,861,014",,TOTAL,"15,574,018"
,,,,,,,
LÍNEA A,,LÍNEA B,,LINEA 12
Pantitlán,"8,854,673",,Buenavista,"2,800,928",,Tláhuac,"963,788"
Agrícola Oriental,"683,093",,Guerrero,"335,579",,Tlaltenco,"85,835"
Canal de San Juan,"756,527",,Garibaldi/Lagunilla,"224,726",,Zapotitlán,"274,098"
Tepalcates,"1,278,908",,Lagunilla,"874,432",,Nopalera,"463,526"
Guelatao,"924,900",,Tepito,"1,181,799",,Olivos,"290,351"
Peñón Viejo,"747,608",,Morelos,"135,318",,Tezonco,"476,011"
Acatitla,"780,139",,San Lázaro,"731,737",,Periférico Oriente,"509,751"
Santa Marta,"1,996,124",,Ricardo Flores Magón,"290,339",,Calle 11,"289,263"
Los Reyes,"1,245,428",,Romero Rubio,"468,770",,Lomas Estrella,"157,692"
La Paz,"2,470,624",,Oceanía,"465,753",,San Andrés Tomatlán,"180,714"
,,,Deportivo Oceanía,"639,511",,Culhuacán,"321,499"
,,,Bosque de Aragón,"246,995",,Atlalilco,"240,088"
,,,Villa de Aragón,"557,885",,Mexicaltzingo,"301,704"
,,,Nezahualcóyotl,"953,426",,Ermita,"187,739"
,,,Impulsora,"1,170,703",,Eje Central,"154,925"
,,,Río de los Remedios,"1,076,303",,Parque de los Venados,"143,547"
,,,Múzquiz,"1,690,044",,Zapata,"203,108"
,,,Ecatepec,"1,197,716",,20 de Noviembre,"167,296"
,,,Olímpica,"957,237",,Insurgentes Sur,"516,195"
,,,Plaza Aragón,"1,008,876",,Mixcoac,"203,776"
