LÍNEA 1,Afluencia,SD,LÍNEA 2,Afluencia,SD,LÍNEA 3,Afluencia
Guelatao,"766,788",SD,Tepito,"1,068,291",SD,Olivos,"815,630"
Peñón Viejo,"633,582",SD,Morelos,"246,524",SD,Tezonco,"1,147,988"
Acatitla,"717,912",SD,San Lázaro,"751,589",SD,Periférico Oriente,"1,406,656"
Santa Marta,"1,749,350",SD,Ricardo Flores Magón,"312,779",SD,Calle 11,"704,994"
Los Reyes,"1,157,271",SD,Romero Rubio,"375,279",SD,Lomas Estrella,"388,279"
La Paz,"2,310,591",SD,Oceanía,"471,498",SD,San Andrés Tomatlán,"447,874"
SD,SD,SD,Deportivo Oceanía,"563,385",SD,Culhuacán,"858,126"
SD,SD,SD,Bosque de Aragón,"214,958",SD,Atlalilco,"607,635"
SD,SD,SD,Villa de Aragón,"529,799",SD,Mexicaltzingo,"729,152"
SD,SD,SD,Nezahualcóyotl,"879,969",SD,Ermita,"659,959"
SD,SD,SD,Impulsora,"1,087,511",SD,Eje Central,"509,974"
SD,SD,SD,Río de los Remedios,"964,501",SD,Parque de los Venados,"424,437"
SD,SD,SD,Múzquiz,"1,513,791",SD,Zapata,"692,020"
SD,SD,SD,Ecatepec,"978,527",SD,20 de Noviembre,"425,832"
SD,SD,SD,Olímpica,"867,436",SD,Insurgentes Sur,"1,291,180"
SD,SD,SD,Plaza Aragón,"904,462",SD,Mixcoac,"490,038"
SD,SD,SD,Ciudad Azteca,"2,330,672",SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
LÍNEA 1,Afluencia,SD,LÍNEA 2,Afluencia,SD,LÍNEA 3,Afluencia
Pantitlán,"2,807,529",SD,Cuatro Caminos,"4,144,051",SD,Indios Verdes,"5,974,944"
Zaragoza,"2,091,170",SD,Panteones,"550,592",SD,Deptvo. 18 de Marzo,"1,516,986"
Gómez Farías,"1,861,026",SD,Tacuba,"1,811,469",SD,Potrero,"758,479"
Blvd. Puerto Aéreo,"1,140,398",SD,Cuitláhuac,"811,105",SD,La Raza,"1,598,446"
Balbuena,"509,057",SD,Popotla,"326,610",SD,Tlatelolco,"826,159"
Moctezuma,"1,115,398",SD,Colegio Militar,"513,309",SD,Guerrero,"524,018"
San Lázaro,"914,330",SD,Normal,"1,350,340",SD,Hidalgo,"601,861"
Candelaria,"1,440,474",SD,San Cosme,"792,438",SD,Juárez,"701,603"
Merced,"2,838,029",SD,Revolución,"1,257,965",SD,Balderas,"299,107"
Pino Suárez,"1,823,494",SD,Hidalgo,"1,402,101",SD,Niños Héroes/PJCDMX,"971,745"
Isabel la Católica,"1,128,302",SD,Bellas Artes,"762,035",SD,Hospital General,"847,393"
Salto del Agua,"1,051,444",SD,Allende,"878,863",SD,Centro Médico,"889,276"
Balderas,"883,853",SD,Zócalo,"2,196,540",SD,Etiopía/Plaza de la Trans.,"1,199,481"
Cuauhtémoc,"1,024,509",SD,Pino Suárez,"865,834",SD,Eugenia,"715,906"
Insurgentes,"2,087,813",SD,San Antonio Abad,"952,481",SD,División del Norte,"709,407"
Sevilla,"1,404,514",SD,Chabacano,"893,512",SD,Zapata,"1,711,859"
Chapultepec,"2,433,276",SD,Viaducto,"779,450",SD,Coyoacán,"579,161"
Juanacatlán,"466,179",SD,Xola,"804,785",SD,Viveros/Derechos Humanos,"981,521"
Tacubaya,"1,869,135",SD,Villa de Cortés,"712,299",SD,Miguel A. de Quevedo,"1,636,083"
Observatorio,"2,819,940",SD,Nativitas,"684,861",SD,Copilco,"1,155,211"
SD,SD,SD,Portales,"736,705",SD,Universidad,"2,279,601"
SD,SD,SD,Ermita,"764,601",SD,SD,SD
